コード,銘柄名,業種
8715.T,アニコム　ホールディングス,保険業
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業
8729.T,ソニーフィナンシャルグループ,保険業
8750.T,第一生命ホールディングス,保険業
8766.T,東京海上ホールディングス,保険業
8795.T,Ｔ＆Ｄホールディングス,保険業
8798.T,アドバンスクリエイト,保険業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9110.T,ＮＳユナイテッド海運,海運業
9119.T,飯野海運,海運業
9273.T,コーア商事ホールディングス,卸売業
9274.T,ＫＰＰグループホールディングス,卸売業
9305.T,ヤマタネ,卸売業
9824.T,泉州電業,卸売業
9830.T,トラスコ中山,卸売業
9832.T,オートバックスセブン,卸売業
9837.T,モリト,卸売業
9869.T,加藤産業,卸売業
9882.T,イエローハット,卸売業
9902.T,日伝,卸売業
9932.T,杉本商事,卸売業
9934.T,因幡電機産業,卸売業
9960.T,東テク,卸売業
9962.T,ミスミグループ本社,卸売業
9987.T,スズケン,卸売業
9991.T,ジェコス,卸売業
9565.T,ＧＬＯＥ,サービス業
9563.T,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,サービス業
9562.T,ビジネスコーチ,サービス業
9561.T,グラッドキューブ,サービス業
9560.T,プログリット,サービス業
9558.T,ジャパニアス,サービス業
9557.T,エアークローゼット,サービス業
9556.T,ＩＮＴＬＯＯＰ,サービス業
9554.T,ＡＶｉＣ,サービス業
9553.T,マイクロアド,サービス業
9467.T,アルファポリス,情報・通信業
9348.T,ｉｓｐａｃｅ,サービス業
9346.T,ココルポート,サービス業
9345.T,ビズメイツ,サービス業
9344.T,アクシスコンサルティング,サービス業
9343.T,アイビス,サービス業
9342.T,スマサポ,サービス業
9338.T,ＩＮＦＯＲＩＣＨ,サービス業
9337.T,トリドリ,サービス業
9331.T,キャスター,サービス業
9330.T,揚羽,サービス業
9326.T,関通,倉庫・運輸関連業
9272.T,ブティックス,サービス業
9271.T,和心,小売業
9270.T,バリュエンスホールディングス,卸売業
9259.T,タカヨシホールディングス,サービス業
9258.T,ＣＳ－Ｃ,サービス業
9257.T,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,サービス業
9256.T,サクシード,サービス業
9254.T,ラバブルマーケティンググループ,サービス業
9253.T,スローガン,サービス業
9252.T,ラストワンマイル,サービス業
9251.T,ＡＢ＆Ｃｏｍｐａｎｙ,サービス業
9250.T,ＧＲＣＳ,サービス業
9246.T,プロジェクトホールディングス,サービス業
9245.T,リベロ,サービス業
9244.T,デジタリフト,サービス業
9242.T,メディア総研,サービス業
9241.T,フューチャーリンクネットワーク,サービス業
9240.T,デリバリーコンサルティング,サービス業
9238.T,バリュークリエーション,サービス業
9237.T,笑美面,サービス業
9236.T,ジャパンＭ＆Ａソリューション,サービス業
9235.T,売れるネット広告社グループ,サービス業
9227.T,マイクロ波化学,サービス業
9225.T,ブリッジコンサルティンググループ,サービス業
9223.T,ＡＳＮＯＶＡ,サービス業
9219.T,ギックス,サービス業
9218.T,メンタルヘルステクノロジーズ,サービス業
9215.T,ＣａＳｙ,サービス業
9214.T,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,サービス業
9212.T,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,サービス業
9211.T,エフ・コード,サービス業
9204.T,スカイマーク,空運業
9168.T,ライズ・コンサルティング・グループ,サービス業
9166.T,ＧＥＮＤＡ,サービス業
9165.T,クオルテック,サービス業
9163.T,ナレルグループ,サービス業
9162.T,ブリーチ,サービス業
9159.T,Ｗ　ＴＯＫＹＯ,サービス業
9158.T,シーユーシー,サービス業
8938.T,グローム・ホールディングス,不動産業
7806.T,ＭＴＧ,その他製品
7803.T,ブシロード,その他製品
7794.T,イーディーピー,その他製品
7793.T,イメージ・マジック,その他製品
7792.T,コラントッテ,その他製品
7779.T,ＣＹＢＥＲＤＹＮＥ,精密機器
7777.T,スリー・ディー・マトリックス,精密機器
7776.T,セルシード,精密機器
7774.T,ジャパン・ティッシュエンジニアリング,精密機器
7707.T,プレシジョン・システム・サイエンス,精密機器
7699.T,オムニ・プラス・システム・リミテッド　ＪＤＲ,卸売業
7695.T,交換できるくん,小売業
7694.T,いつも,小売業
7689.T,コパ・コーポレーション,卸売業
7687.T,ミクリード,卸売業
7685.T,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,卸売業
7674.T,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,小売業
7409.T,ＡｅｒｏＥｄｇｅ,輸送用機器
7378.T,アシロ,サービス業
7376.T,ＢＣＣ,サービス業
7375.T,リファインバースグループ,サービス業
7374.T,コンフィデンス・インターワークス,サービス業
7373.T,アイドマ・ホールディングス,サービス業
7372.T,デコルテ・ホールディングス,サービス業
7371.T,Ｚｅｎｋｅｎ,サービス業
7370.T,Ｅｎｊｉｎ,サービス業
7369.T,メイホーホールディングス,サービス業
7363.T,ベビーカレンダー,サービス業
7362.T,Ｔ．Ｓ．Ｉ,サービス業
7361.T,ヒューマンクリエイションホールディングス,サービス業
7360.T,オンデック,サービス業
7359.T,東京通信グループ,サービス業
7356.T,Ｒｅｔｔｙ,サービス業
7353.T,ＫＩＹＯラーニング,サービス業
7352.T,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,サービス業
7351.T,グッドパッチ,サービス業
7345.T,アイ・パートナーズフィナンシャル,その他金融業
7343.T,ブロードマインド,保険業
7326.T,ＳＢＩインシュアランスグループ,保険業
7325.T,アイリックコーポレーション,保険業
7320.T,Ｓｏｌｖｖｙ,その他金融業
7318.T,セレンディップ・ホールディングス,輸送用機器
7317.T,松屋アールアンドディ,輸送用機器
7140.T,ペットゴー,小売業
7138.T,ＴＯＲＩＣＯ,小売業
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,小売業
7119.T,ハルメクホールディングス,小売業
7114.T,フーディソン,卸売業
7112.T,キューブ,小売業
7110.T,クラシコム,小売業
7097.T,さくらさくプラス,サービス業
7096.T,ステムセル研究所,サービス業
7094.T,ＮｅｘＴｏｎｅ,サービス業
7093.T,アディッシュ,サービス業
7091.T,リビングプラットフォーム,サービス業
7090.T,リグア,サービス業
